Symbol,Open,High,Low,Close,Volume,Market_Cap,Time
ETH,1795.1766142446,1812.4248715856,1742.4037545434,1808.0197452174,9047198660.44,222028758930.9,2023-05-12T23:59:59.999Z
ETH,1808.375009535,1816.0585194797,1788.4755757848,1796.1149274099,4647630864.12,220637609942.13,2023-05-13T23:59:59.999Z
ETH,1796.1079663969,1823.4907678607,1793.2287550918,1800.5010095513,4711210241.24,221375138904.33,2023-05-14T23:59:59.999Z
ETH,1800.3711607425,1845.6954612692,1787.5364335214,1817.5498870463,6748889346.13,223490168593.18,2023-05-15T23:59:59.999Z
ETH,1816.8242512606,1830.3515931,1797.843778946,1824.1214554709,5595959667.52,219418097417.64,2023-05-16T23:59:59.999Z
ETH,1824.0684051134,1835.5546019973,1786.6719990036,1821.8595805464,6352161578.89,219138701233.08,2023-05-17T23:59:59.999Z
ETH,1822.0682131821,1831.4503171198,1774.1950122934,1801.7284805099,5673124255.21,216710693709.2,2023-05-18T23:59:59.999Z
ETH,1800.9943643468,1826.1941974336,1797.434450887,1812.5895098483,4796110259.27,218010422175.62,2023-05-19T23:59:59.999Z
ETH,1812.7660597735,1829.00960332,1808.0467309723,1820.4780014054,2951655969.3,218953899552.53,2023-05-20T23:59:59.999Z
ETH,1820.1380998228,1827.9220019109,1799.9468751397,1804.5313803255,3386768865.1,217032947920.34,2023-05-21T23:59:59.999Z
ETH,1804.8418680605,1826.6965809396,1793.2240359427,1817.5348253547,4534841048.84,218593840135.54,2023-05-22T23:59:59.999Z
ETH,1817.7811567459,1869.3440186928,1816.2879379452,1854.3806307242,6820047160.22,223019695977.43,2023-05-23T23:59:59.999Z
ETH,1854.2997086356,1854.2997086356,1780.9254996826,1800.1000165874,7101647418.5,216485036956.1,2023-05-24T23:59:59.999Z
ETH,1799.8451574147,1815.9947127958,1763.3651212148,1805.9536832882,6321689858.67,217184216646.79,2023-05-25T23:59:59.999Z
ETH,1805.7254318258,1837.8657967239,1798.4060286875,1828.6897444971,5451414258.32,219914764942.45,2023-05-26T23:59:59.999Z
ETH,1828.5756734057,1836.1845803856,1817.4920925113,1831.1183083015,3216737651.79,220204378895.01,2023-05-27T23:59:59.999Z
